id_escola,nome_da_escola,tipo_da_escola,logradouro_da_entrega,numero,bairro,subprefeitura,latitude,longitude,quantidade_material
226,EM AFRANIO PEIXOTO,EM,RUA FERREIRA PONTES,328,ANDARAI,GRANDE TIJUCA,-22.92685,-43.25491,164.0
638,E.M AZEVEDO SODRE,EM,RUA BARAO DE UBA,331,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293.0
126,EM DUQUE DE CAXIAS,EM,RUA MAL JOFRE,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399.0
180,ESCOLA MUNICIPAL EQUADOR,EM,BOULEVARD  DE SETEMBRO,28,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185.0
587,EM ALMIRANTE TAMANDARE,EM,AVENIDA PRESIDENTE JOAO GOULART,296,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336.0
653,EM LUCIA MIGUEL PEREIRA,EM,RUA MARTAGAO GESTEIRA S/NDEG,S/NO,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159.0
660,E.M NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
660,E.M NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
382,EM SANTOS ANJOS,EM,RUA HUMBERTO DE CAMPOS S/NDEG,S/NO,LEBLON,ZONA SUL,-22.98156,-43.21703,262.0
217,EM ALAGOAS,EM,AVENIDA DOM HELDER CAMARA,6742,PILARES,ZONA NORTE,-22.88134,-43.29409,440.0
378,EM BRIGADEIRO FARIA LIMA,EM,RUA VIOLETA,S/NO,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365.0
429,EM FELIX PACHECO,EM,RUA ASSIS CARNEIRO,649,PIEDADE,ZONA NORTE,-22.89509,-43.31383,0.0
020,EM TAGORE,EM,PCA FREDERICO DUVAL,S/NO,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255.0
025,ESCOLA MUNICIPAL GEORGE SUMMER,EM,RUA ANA NERI,S/NO,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183.0
373,EM PROFESSOR AUGUSTO PAULINO,EM,RUA CONEGO TOBIAS,116,MEIER,ZONA NORTE,-22.90416,-43.28033,44.0
624,EM RIO GRANDE DO SUL,EM,RUA ADOLFO BERGAMINI,201,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109.0
157,E.M. SARMIENTO,EM,RUA VINTE QUATRO DE MAIO,931,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350.0
117,CIEP CHANCELER WILLY BRANDT,CIEP,RUA ALVARO SEIXAS,S/NO,JACARE,ZONA NORTE,-22.89418,-43.26385,457.0
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,CIEP,AVENIDA DOM HELDER CAMARA,1715,JACARE,ZONA NORTE,-22.88532,-43.2541,489.0
502,CIEP PATRICE LUMUMBA,CIEP,PRACA DA CONFEDERACAO SUICA,S/NO,DEL CASTILHO,ZONA NORTE,-22.87835,-43.27489,493.0
135,EM DOMINGOS BEBIANO,EM,ESTRADA ADHEMAR BEBIANO,1870,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456.0
440,EM JOAQUIM RIBEIRO,EM,PCA SOLDADO COSME DOS SANTOS,28,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530.0
388,EM CARDEAL CAMARA,EM,RUA ANAMA,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
388,EM CARDEAL CAMARA,EM,RUA ANAMA,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
259,EM PERNAMBUCO,EM,RUA CONDE DE AZAMBUJA,579,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158.0
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,EM,AVENIDA DOS DEMOCRATICOS,268,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123.0
041,EM ANDRADE NEVES,EM,RUA VIANA DO CASTELO,S/NO,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468.0
537,EM ARY QUINTELLA,EM,RUA ENG MOREIRA LIMA,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234.0
566,EM BRANT HORTA,EM,RUA BENTO CARDOSO,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564.0
161,E.M JOAO DE DEUS,EM,PCA ALMEIDA GARRET,S/NO,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509.0
230,EM BERLIM,EM,PCA RAMOS FIGUEIRA,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24.0
498,EM CHILE,EM,PCA BELMONTE,15,OLARIA,ZONA NORTE,-22.84858,-43.26859,61.0
379,CIEP NELSON MANDELA,CIEP,"PRACA DANIEL LAMES, S/N",S/NO,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
379,CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES,S/NO,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
379,CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES,S/NO,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
399,CIEP CLEMENTINA DE JESUS,CIEP,AVENIDA ALHAMBRA,S/NO,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71.0
616,CIEP PROFESSOR DARCI RIBEIRO,CIEP,"RUA CONCHAS, S/N",S/NO,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372.0
144,EM ALFREDO CESARIO ALVIM,EM,"RUA RIO DA PRATA, RUA LUISA MARILAC",20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99.0
534,EM CORA CORALINA,EM,RUA VOTORANTIM S/N KM  MENDANHA,10,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157.0
342,E.M FERNANDO COSTA,EM,RUA JOSE ALBANO,S/NO,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296.0
139,EM JESUS SOARES PEREIRA,EM,RUA CONSOLACAO,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316.0
146,EM BERNARDO VASCONCELOS,EM,PCA SANTA ROSALIA,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151.0
663,EM CIENTISTA MARIO KROEFF,EM,RUA DO COUTO,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426.0
121,EM DILERMANDO CRUZ,EM,AVENIDA TEIXEIRA DE CASTRO,407,RAMOS,ZONA NORTE,-22.85387,-43.25245,167.0
263,EM PADRE MANUEL DE NOBREGA,EM,PRACA ELBA,1215,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292.0
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,CIEP,RUA PRINCIPAL,S/NO,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210.0
140,EM PEDRO LESSA,EM,RUA ADAIL,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153.0
260,EM PROFESSOR JOSUE DE CASTRO,EM,AVENIDA BRASIL  RUA DA VITORIA,4040,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,0.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
090,EM THOMAS JEFFERSON,EM,AVENIDA PASTOR MARTIN LUTHER KING JR,S/NO,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
090,EM THOMAS JEFFERSON,EM,AVENIDA PASTOR MARTIN LUTHER KING JR,S/NO,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
274,EM ABEILARD FEIJO,EM,ESTRADA DA CACUIA,1386,CACUIA,ILHAS,-22.80769,-43.18156,561.0
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,EM,RUA SERENATA,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180.0
390,E.M. ANDREA FONTES PEIXOTO,EM,RUA FAUSTO E CASTRO,S/NO,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257.0
608,EM GRANDJEAN DE MONTIGNY,EM,PRACA DOS UCRANIANOS,S/NO,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260.0
589,EM MARIO PIRAGIBE,EM,PRACA NOSSA SENHORA DAS DORES,S/NO,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317.0
256,ESCOLA MUNICIPAL PARAIBA,EM,ESTRADA MARECHAL ALENCASTRO,4035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345.0
091,E.M. PIAUI,EM,AVENIDA BRASIL,23364,GUADALUPE,ZONA NORTE,-22.84541,-43.37852,0.0
248,E.M. ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513.0
623,EM CECILIA MEIRELES,EM,RUA SD SERVINO MENGARDA,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416.0
603,EM ESPIRITO SANTO,EM,"RUA HERCULANO PENA, S/N",S/NO,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352.0
673,ESCOLA MUNICIPAL GRECIA,EM,AVENIDA BRAZ DE PINA,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393.0
520,EM BARONESA DE SAAVEDRA,EM,"RUA MAL BIBIANO COSTALAT, -",483,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
520,EM BARONESA DE SAAVEDRA,EM,"RUA MAL BIBIANO COSTALAT, -",483,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
308,CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO,S/NO,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400.0
576,EM CORYNTHO DA FONSECA,EM,RUA URUQUE S/NDEG,S/NO,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148.0
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,EM,AVENIDA CANAL S/NDEG,S/NO,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235.0
477,EM PAULO MARANHAO,EM,RUA DO GOVERNO,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187.0
687,EM TASSO DA SILVEIRA,EM,RUA GENERAL BERNARDINO DE MATOS,S/NO,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0.0
031,E.M. PARA,EM,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115.0
514,EM PARANA,EM,AVENIDA ERNANI CARDOSO,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534.0
023,EM CERVANTES,EM,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342.0
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,EM,ESTRADA LUIZDE CAMOES,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152.0
016,CIEP JOAO BATISTA DOS SANTOS,CIEP,RUA EDGAR WERNECK,1565,CIDADE DE DEUS,JACAREPAGUA,-22.94711,-43.35974,430.0
570,EM HELENA LOPES ABRANCHES,EM,RUA ACAPORI,495,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466.0
690,ESCOLA MUNICIPAL FINLANDIA,EM,RUA IGARAPE-ACU,S/NO,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94.0
202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,EM,RUA ESPERANCA,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121.0
211,EM FRANCIS HIME,EM,ESTRADA PAU DA FOME,196,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520.0
466,ESCOLA MUNICIPAL NELSON RODRIGUES,EM,RUA FREI LUIZ ALEVATO S/NDEG,S/NO,TAQUARA,JACAREPAGUA,-22.93533,-43.36973,279.0
636,EM PABLO NERUDA,EM,"ESTRADA DO MAPUA,  RUA",S/NO,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161.0
206,EM HONDURAS,EM,PRACA BARAO DA TAQUARA,12,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392.0
206,EM HONDURAS,EM,PRACA BARAO DA TAQUARA,12,PRACA SECA,JACAREPAGUA,-22896931.0,-43352667.0,392.0
527,EM VIRGILIO VARZEA,EM,RUA JOSE SILVA,155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179.0
586,CIEP ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ S/NDEG,S/NO,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194.0
080,E.M. JOSE MAURO DE VASCONCELOS,EM,RUA MARLIERIA,S/NO,BANGU,GRANDE BANGU,-22.85044,-43.46686,599.0
398,EM LEONARDO DA VINCI,EM,RUA RENATO REBECCHI S/NDEG,S/NO,BANGU,GRANDE BANGU,-22.89253,-43.47295,315.0
175,E.M. NACOES UNIDAS,EM,RUA DOS LIMADORES S/NDEG,S/NO,BANGU,GRANDE BANGU,-22.88815,-43.47629,435.0
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,COLÉGIO,AVENIDA DUQUE DE CAXIAS,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128.0
641,EM LAURO MULLER,EM,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269.0
689,EM MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571.0
568,EM VISCONDE DE PORTO SEGURO,EM,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362.0
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,CIEP,ESTRADA MORICABA,S/NO,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591.0
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLÉGIO,RUA PEQUIA,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479.0
052,E.M PROFESSOR PAULO SILVA,EM,RUA JAIRO CORREA,S/NO,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330.0
323,CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO S/NDEG,S/NO,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106.0
560,EM ANDRE VIDAL DE NEGREIROS,EM,RUA FELIPE CARDOSO,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308.0
246,EM FERNANDO AZEVEDO,EM,RUA DAS PALMEIRAS IMPERIAIS,S/NO,SANTA CRUZ,ZONA OESTE,-22.92307,-43.69233,459.0
311,EM PESTALOZZI,EM,RUA SEVERIANO DAS CHAGAS,S/NO,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162.0
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,EM,AVENIDA CANAL   CONJ CESARAO,3,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0.0
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS,S/NO,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207.0
319,EM MARECHAL PEDRO CAVALCANTI,EM,RUA PORTO FIRME,S/NO,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537.0
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA EUDALDO GOMES DA SILVA  CONJ URUCANIA,S/NO,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579.0
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA MARIO PEREIRA DOS SANTOS,S/NO,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517.0
584,ESCOLA MUNICIPAL NELSON ROMERO,EM,RUA JOSE BALDINO,S/NO,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342.0
515,CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA,S/NO,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341.0
210,EM DEBORA MENDES DE MORAES,EM,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570.0
289,EM BERTHA LUTZ,EM,ESTRADA DO PIAI,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329.0
474,EM ENGENHEIRO GASTAO RANGEL,EM,ESTRADA DO MAGARCA,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64355,320.0
301,EM JONATAS SERRANO,EM,ESTRADA DO MATO ALTO,S/NO,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335.0
215,E.M. NARCISA AMALIA,EM,ESTRADA TEODORETO DE CAMARGO,S/NO,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0.0
606,EM PROFESSOR CASTILHO,EM,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521.0
