id,Escolas_Postos,BAIRRO,ENDEREÇO ,lat,lon
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. Anamá, 98","-22,81527","-43,303566"
440,EM JOAQUIM RIBEIRO,INHAUMA,Pça. Soldado Cosme dos Santos 28,"-22,87757","-43,285628"
259,EM PERNAMBUCO,MARIA DA GRAÇA,Rua Conde de Azambuja 579,"-22,884179","-43,262622"
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,Av. Dos Democráticos 268,"-22,880986","-43,253246"
41,EM ANDRADE NEVES,JARDIM AMÉRICA,Rua Viana Do Castelo. S/Nº,"-22,809448","-43,326292"
537,EM ARY QUINTELLA,PENHA CIRCULAR,Rua Eng. Moreira Lima 54,"-22,839412","-43,300069"
230,EM BERLIM,OLARIA,Pça. Ramos Figueira 20,"-22,847791","-43,261444"
379,CIEP NELSON MANDELA,CAMPO GRANDE,"Praça Daniel Lames, S/N","-22,895575","-43,570508"
89,EM MARIO CLAUDIO,RIO COMPRIDO,"R. Haddock Lobo, 148","-22,917233","-43,211044"
146,EM BERNARDO VASCONCELOS,PENHA,"Pça. Santa Rosalia, 100","-22,845629","-43,284007"
566,EM BRANT HORTA,PENHA CIRCULAR,"Rua Bento Cardoso, 130","-22,835668","-43,288156"
388,EM CARDEAL CAMARA,PARADA DE LUCAS,"R. Anamá, 98","-22,81527","-43,303566"
498,EM CHILE,OLARIA,Pça. Belmonte 15,"-22,84858","-43,268589"
663,EM CIENTISTA MÁRIO KROEFF,PENHA,"Rua Do Couto, 91","-22,838964","-43,27517"
121,EM DILERMANDO CRUZ,RAMOS,"Av. Teixeira de Castro, 407","-22,853868","-43,252451"
161,E.M JOÃO DE DEUS,PENHA CIRCULAR,Pça. Almeida Garret S/Nº,"-22,829946","-43,282108"
263,EM PADRE MANUEL DE NOBREGA,VIGÁRIO GERAL,"Praça Elba, 1215","-22,857137","-43,264165"
118,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA ELIS REGINA,BONSUCESSO,Rua Principal S/N.º,"-22,857829","-43,240452"
140,EM PEDRO LESSA,BONSUCESSO,"Rua Adail, 49","-22,86047","-43,25428"
260,EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,Av. Brasil 4040 Rua da Vitória,"-22,873739","-43,240712"
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,"-22,876082","-43,343369"
90,EM THOMAS JEFFERSON,ACARI,Avenida Pastor Martin Luther King Jr S/Nº,"-22,81631","-43,340149"
274,EM ABEILARD FEIJÓ,CACUIA,Estrada da Cacuiá 1386,"-22,807692","-43,181558"
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"Rua Serenata, 40","-22,812441","-43,209658"
390,E.M. ANDREA FONTES PEIXOTO,PARQUE COLÚMBIA,Rua Fausto e Castro S/Nº,"-22,81631","-43,340149"
608,EM GRANDJEAN DE MONTIGNY,PAVUNA,"Praça dos Ucranianos, S/Nº","-22,81389","-43,373926"
589,EM MARIO PIRAGIBE,ANCHIETA,"Praça Nossa Senhora Das Dores, S/Nº","-22,825581","-43,392076"
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,Estrada Marechal Alencastro 4.035,"-22,826363","-43,402883"
91,E.M. PIAUI,GUADALUPE,Avenida Brasil 23.364,"-22,845415","-43,37852"
90,EM THOMAS JEFFERSON,ACARI,Avenida Pastor Martin Luther King Jr S/Nº,"-22,81631","-43,340149"
248,E.M. ASPIRANTE CARLOS ALFREDO,TURIAÇÚ,Rua Ibia 105,"-22,860846","-43,34455"
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,"-22,876082","-43,343369"
623,EM CECILIA MEIRELES,VILA KOSMOS,"R. Sd. Servino Mengarda, 260","-22,84944","-43,303787"
603,EM ESPÍRITO SANTO,CAVALCANTI,"Rua Herculano Pena, s/n","-22,874299","-43,314719"
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"Av. Braz de Pina, 1614","-22,83783","-43,312536"
89,EM MARIO CLAUDIO,RIO COMPRIDO,"R. Haddock Lobo, 148","-22,917233","-43,211044"
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. Mal. Bibiano Costalat, 483-639","-22,87185","-43,432432"
412,EM MOZART LAGO,OSWALDO CRUZ,Rua José Carvalho Salgado S/N.º,"-22,872211","-43,350334"
31,E.M. PARA,ROCHA MIRANDA,Av. Dos Italianos 500,"-22,851963","-43,34949"
514,EM PARANÁ,CASCADURA,Av. Ernani Cardoso 316,"-22,882408","-43,338111"
23,EM CERVANTES,BENTO RIBEIRO,Rua Abílio Dos Santos 170,"-22,86459","-43,365952"
415,ESCOLA MUNICIPAL LUIZ DE CAMÕES,COLÉGIO,"Estr. Luizde Camões, 1446","-22,846044","-43,338668"
16,CIEP JOÃO BATISTA DOS SANTOS,CIDADE DE DEUS,"Rua Edgar Werneck, 1.565","-22,947106","-43,359739"
570,EM HELENA LOPES ABRANCHES,GARDENIA AZUL,Rua Acapori 495,"-22,96072","-43,353437"
528,CIEP MARGARET MEE,RECREIO,Rua Ministro Aliomar Baleeiro S/Nº,"-23,019811","-43,481721"
414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,Estrada de Jacarepaguá 3327,"-22,973355","-43,329156"
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,R. Igarapé-Açu,"-22,971988","-43,410113"
202,E.M. PROFESSOR TEÓFILO MOREIRA DA COSTA,VARGEM GRANDE,Rua Esperança 387,"-22,981726","-43,491639"
550,EM 25 DE ABRIL,FREGUESIA JPA,Rua Mamoré 78,"-22,938165","-43,342579"
211,EM FRANCIS HIME,TAQUARA,Estrada Pau da Fome 196,"-22,918831","-43,41625"
206,EM HONDURAS,PRAÇA SECA,Praça Barão da Taquara 12,"-22,896931","-43,352667"
492,EM MENEZES CORTES,FREGUESIA JPA,Praça José Alves De Azevedo 43,"-22,942655","-43,338969"
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,Rua Frei Luiz Alevato S/N°,"-22,935328","-43,369728"
636,EM PABLO NERUDA,TAQUARA,"Estrada Do Mapua, S/Nº Rua 3","-22,92688","-43,387881"
527,EM VIRGILIO VÁRZEA,PECHINCHA,Rua José Silva 155,"-22,93253","-43,35113"
586,CIEP ANTONIO EVARISTO DE MORAES,SENADOR CAMARÁ,Avenida de Santa Cruz S/N°,"-22,881793","-43,487326"
80,E.M. JOSÉ MAURO DE VASCONCELOS,BANGU,Rua Marliéria S/Nº,"-22,850438","-43,466856"
398,EM LEONARDO DA VINCI,BANGU,Rua Renato Rebecchi S/N.°,"-22,892527","-43,472954"
175,E.M. NAÇÕES UNIDAS,BANGU,Rua Dos Limadores S/N°,"-22,888146","-43,476291"
308,CIEP THOMAS JEFFERSON,REALENGO,Estrada do Engenho Novo S/Nº,"-22,866522","-43,425149"
520,EM BARONESA DE SAAVEDRA,REALENGO,"R. Mal. Bibiano Costalat, 483-639","-22,87185","-43,432432"
576,EM CORYNTHO DA FONSECA,REALENGO,Rua Uruque S/N.°,"-22,858945","-43,443874"
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,"Av. Duque de Caxias, 170","-22,856087","-43,386608"
379,CIEP NELSON MANDELA,CAMPO GRANDE,"Praça Daniel Lames, S/Nº","-22,895575","-43,570508"
641,EM LAURO MÜLLER,PADRE MIGUEL,"R. Rosa de Almeida, 113","-22,882073","-43,44644"
689,EM MOACIR PADILHA,PADRE MIGUEL,Rua General Gomes De Castro 30,"-22,868766","-43,450652"
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,Avenida Canal S/N°,"-22,883457","-43,429451"
477,EM PAULO MARANHÃO,REALENGO,Rua Do Governo 866,"-22,892991","-43,441219"
206,EM HONDURAS,PRAÇA SECA,Praça Barão da Taquara 12,-22896931,-43352667
687,EM TASSO DA SILVEIRA,REALENGO,Rua General Bernardino de Matos S/N.º,"-22,883859","-43,41733"
568,EM VISCONDE DE PORTO SEGURO,JARDIM SULACAP,Rua Teófilo Guimarães 604,"-22,889076","-43,39248"
399,CIEP CLEMENTINA DE JESUS,CAMPO GRANDE,Av. Alhambra S/Nº,"-22,925293","-43,566649"
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,Estrada Moricaba S/Nº,"-22,925293","-43,566649"
262,CIEP HERIVELTO MARTINS,AUGUSTO VASCONCELOS,"Praça Santo Anastácio, S/N","-22,886489","-43,528802"
379,CIEP NELSON MANDELA,CAMPO GRANDE,"Praça Daniel Lames, S/Nº","-22,895575","-43,570508"
616,CIEP PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,"R. Conchas, S/N","-22,887297","-43,587359"
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,"R. Pequiá, 97","-22,910969","-43,616053"
144,EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"Rua Rio da Prata, R. Luísa Marilac, 20","-22,923154","-43,518773"
534,EM CORA CORALINA,CAMPO GRANDE,Rua Votorantim S/N kM 10 Mendanha,"-22,858781","-43,537047"
342,E.M FERNANDO COSTA,CAMPO GRANDE,"Rua José Albano, S/Nº","-22,89036","-43,593991"
52,E.M PROFESSOR PAULO SILVA,INHOAÍBA,Rua Jairo Correa s/nº,"-22,908586","-43,584735"
139,EM JESUS SOARES PEREIRA,CAMPO GRANDE,R. Consolação 138,"-22,919593","-43,546838"
323,CIEP ISMAEL NERY,SANTA CRUZ,Avenida Cesário de Melo S/N°,"-22,934157","-43,66213"
573,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,Rua Cabo Saulo de Vasconcelos S/N.º,"-22,888549","-43,638052"
560,EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,Rua Felipe Cardoso 750,"-22,92139","-43,68058"
246,EM FERNANDO AZEVEDO,SANTA CRUZ,Rua das Palmeiras Imperiais S/Nº,"-22,923065","-43,692332"
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,"-22,876082","-43,343369"
319,EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,Rua Porto Firme S/N.º,"-22,924853","-43,632891"
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,Rua José Baldino S/N.º,"-22,971739","-43,697354"
311,EM PESTALOZZI,SANTA CRUZ,Rua Severiano Das Chagas S/Nº,"-22,915717","-43,679753"
316,EM PROFESSORA FLÁVIA DOS SANTOS SOARES,PACIENCIA,Rua Eudaldo Gomes Da Silva S/N.º Conj Urucânia,"-22,914027","-43,653436"
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,Avenida Mário Pereira dos Santos S/N.º,"-22,873187","-43,627731"
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,Avenida Canal 3 S/N.º Conj. Cesarão,"-22,930111","-43,652899"
68,EM WALQUIR PEREIRA,NOVA SEPETIBA,Estrada de Sepetiba s/n Bloco 1,"-22,956014","-43,686746"
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,"-22,876082","-43,343369"
515,CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"Estrada Da Pedra, S/N.º","-22,974506","-43,648171"
289,EM BERTHA LUTZ,GUARATIBA,Estrada do Piaí 2075,"-22,979064","-43,67058"
210,EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,Rua Belchior Da Fonseca 643,"-23,001416","-43,638757"
474,EM ENGENHEIRO GASTÃO RANGEL,GUARATIBA,Estrada Do Magarça 9.183,"-22,98046","-43,643545"
301,EM JONATAS SERRANO,GUARATIBA,"Estrada Do Mato Alto, S/Nº","-22,953163","-43,577409"
215,E.M. NARCISA AMALIA,ILHA DE GUARATIBA,Estrada Teodoreto de Camargo S/N.º,"-23,009084","-43,537582"
606,EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,Caminho da Matriz 4406,"-22,994124","-43,593683"
69,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,"-22,876082","-43,343369"
